Country,Gender,Localized Name
IR,F,Fatemeh
IR,F,Zahra
IR,F,Helma
IR,F,Zeinab
IR,F,Yasna
IR,F,Ava
IR,F,Mersana
IR,F,Baran
IR,M,Mohammad
IR,M,Ali
IR,M,Hossein
IR,M,AbulFazl
IR,M,Samyar
IR,M,Aria
IR,F,Fatemeh
IR,F,Zahra
IR,F,Maryam
IR,F,Sakineh
IR,F,Zeinab
IR,F,Roghayyeh
IR,F,Khadije
IR,F,Leyla
IR,F,Somayyeh
IR,M,Mohammad
IR,M,Ali
IR,M,Hossein
IR,M,Mahdi
IR,M,Hassan
IR,M,Reza
IR,M,Ahmad
IR,M,Abbas
IS,F,Embla
IS,F,Sara
IS,F,Matthildur
IS,F,Katla
IS,F,Eva
IS,F,Saga
IS,M,Aron
IS,M,Alexander
IS,M,Emil
IS,M,Mikael
IS,M,Atlas
IS,M,Elmar
IT,F,Sofia
IT,F,Aurora
IT,F,Giulia
IT,F,Ginevra
IT,F,Beatrice
IT,F,Alice
IT,F,Vittoria
IT,F,Emma
IT,F,Ludovica
IT,F,Matilde
IT,M,Leonardo
IT,M,Alessandro
IT,M,Tommaso
IT,M,Francesco
IT,M,Lorenzo
IT,M,Edoardo
IT,M,Mattia
IT,M,Riccardo
IT,M,Gabriele
IT,M,Andrea
JE,F,Willow
JE,F,Mia
JE,F,Aria
JE,F,Sienna
JE,F,Lily
JE,F,Daisy
JE,F,Olivia
JE,F,Emily
JE,F,Florence
JE,F,Valentina
JE,M,Arthur
JE,M,Noah
JE,M,Luca
JE,M,Leo
JE,M,Lucas
JE,M,Oliver
JE,M,Theodore
JE,M,Frederick
JE,M,Finn
JE,M,Albert
JM,F,Amelia
JM,F,Arianna
JM,F,Gianna
JM,F,Kyra
JM,F,Azariah
JM,F,Aria
JM,F,Ariana
JM,F,Azaria
JM,M,Aiden
JM,M,Liam
JM,M,Malachi
JM,M,Amir
JM,M,thaniel
JM,M,Joshua
JM,M,Josiah
JM,M,Zahir
JM,M,than
JO,F,Jouri
JO,F,Salma
JO,F,Naya
JO,F,Mira
JO,F,Lianne
JO,F,Leen
JO,F,Zina
JO,F,Mariam
JO,F,Wateen
JO,F,Tuleen
JO,M,Mohammad
JO,M,Adam
JO,M,Ahmed
JO,M,Youssef
JO,M,Omar
JO,M,Karam
JO,M,Shahem
JO,M,Jad
JO,M,Ali
JO,M,Hashem
KW,F,Fatma
KW,F,Mariam
KW,F,Hussa
KW,F,Sherifa
KW,F,Sara
KW,F,Reem
KW,F,Aisha
KW,F,Dalal
KW,F,Lulwa
KW,F,Shaikha
KW,M,Mohammad
KW,M,Abdullah
KW,M,Fahad
KW,M,Khaled
KW,M,Ali
KW,M,Yousef
KW,M,Ahmed
KW,M,Abdulaziz
KW,M,Faisal
KW,M,Bader
LB,F,Marie
LB,F,Fatima
LB,F,Jessica
LB,F,Zeinab
LB,F,Mariam
LB,F,Sarah
LB,F,Maya
LB,F,Layla
LB,F,Christina
