Country,Romanized Name
LU,Schiltz
LU,Simon
LU,Welter
LU,Hansen
LU,Majerus
LU,Ries
LU,Meyers
LU,Kayser
LU,Steffen
LU,Krier
LU,Braun
LU,Wagener
LU,Diederich
MT,Borg
MT,Camilleri
MT,Vella
MT,Farrugia
MT,Zammit
MT,Galea
MT,Micallef
MT,Grech
MT,Attard
MT,Spiteri
MD,Rusu
MD,Ceban
MD,Ciobanu
MD,Cebotari
MD,Lungu
MD,Munteanu
MD,Rotari
MD,Popa
MD,Ursu
MD,Melnic
MD,Cojocari
NL,Jansen
NL,Bakker
NL,Janssen
NL,Visser
NL,Smit
NL,Meijer
NL,Meyer
NL,Mulder
NL,Bos
NL,Vos
NL,Peters
NL,Hendriks
NL,Dekker
NL,Brouwer
NL,Dijkstra
NL,Smits
MK,Andov
MK,Angelov
MK,Bogdanov
MK,Bozinov
MK,Brankov
MK,Damcevski
MK,Davidov
MK,Dimitrov
MK,Donev
MK,Filipov
MK,Georgiev
MK,Ivanov
MK,Ivanovski
MK,Janev
MK,Kitanovski
MK,Koloski
MK,Kostovski
MK,Kostov
MK,Manasievski
MK,Markov
MK,Markovski
MK,Markoski
MK,Matovski
MK,Mladenovski
MK,Nikolovski
MK,Pavlovski
MK,Penov
MK,Petkov
MK,Petrevski
MK,Petrovski
MK,Popoff
MK,Popovski
MK,Ristevski
MK,Stojanov
MK,Trajanoski
MK,Trajanovski
MK,Trajcevski
MK,Trajkovski
NO,Hansen
NO,Johansen
NO,Olsen
NO,Larsen
NO,Andersen
NO,Pedersen
NO,Nilsen
NO,Kristiansen
NO,Jensen
NO,Karlsen
NO,Johnsen
NO,Pettersen
NO,Eriksen
NO,Berg
NO,Haugen
NO,Hagen
NO,Johannessen
NO,Andreassen
NO,Jacobsen
NO,Dahl
NO,Halvorsen
NO,Henriksen
NO,Lund
PL,Nowak
PL,Kowalski
PL,Kowalczyk
PL,Lewandowski
PL,Jankowski
PL,Mazur
PL,Kwiatkowski
PL,Wojciechowski
PL,Krawczyk
PL,Kaczmarek
PL,Piotrowski
PL,Grabowski
PT,Silva
PT,Santos
PT,Ferreira
PT,Pereira
PT,Oliveira
PT,Costa
PT,Rodrigues
PT,Martins
PT,Jesus
PT,Sousa
PT,Fernandes
PT,Gomes
PT,Lopes
PT,Marques
PT,Alves
PT,Almeida
PT,Ribeiro
PT,Pinto
PT,Carvalho
PT,Teixeira
PT,Moreira
PT,Correia
PT,Mendes
PT,Nunes
PT,Soares
PT,Vieira
PT,Monteiro
PT,Cardoso
PT,Rocha
PT,Neves
PT,Coelho
PT,Cruz
PT,Cunha
PT,Pires
PT,Duarte
PT,Reis
PT,Antunes
PT,Matos
PT,Fonseca
PT,Machado
PT,Barbosa
PT,Tavares
PT,Castro
PT,Figueiredo
PT,Azevedo
PT,Freitas
RO,Popa
RO,Popescu
RO,Pop
RO,Radu
RO,Dumitru
RO,Stan
RO,Stoica
